Comentario,polaridad
La comida fue excelente y el servicio fue excepcional. Definitivamente volveré.,0.5555555555555555
"El ambiente era agradable y la comida estaba deliciosa, aunque un poco cara.",0.26145833333333335
"La comida estaba bien, pero el servicio fue lento y poco atento.",0.19999999999999996
"No me gustó la comida, estaba fría y el sabor no era bueno.",-0.475
El peor restaurante en el que he estado. No lo recomiendo para nada.,-1.0
¡Increíble! El mejor lugar para cenar con amigos o familiares.,1.0
Buena comida y buena música. Un lugar agradable para pasar el rato.,0.6666666666666666
"La comida era decente, pero no vale el precio que cobran.",0.008333333333333331
El servicio fue terrible y la comida llegó tarde y fría.,-0.6333333333333333
Muy mala experiencia. El personal fue grosero y la comida horrible.,-0.7366666666666667
Excelente lugar. La comida y el servicio fueron perfectos.,1.0
El restaurante tiene un buen ambiente y la comida es sabrosa.,0.7
"Regular, nada especial. No creo que vuelva pronto.",0.06904761904761905
La comida estaba mal cocida y el personal no fue muy atento.,-0.27692307692307694
Una experiencia desastrosa. No recomendaría este lugar.,-0.7
"Todo fue perfecto. Desde la comida hasta el servicio, todo de primera.",0.75
Me gustó mucho la comida y la atención fue buena.,0.6499999999999999
"Normal, no fue ni bueno ni malo. Un lugar promedio.",3.469446951953614e-17
La calidad de la comida dejó mucho que desear y el servicio fue deficiente.,-0.2
Horrible. No entiendo cómo puede estar abierto este lugar.,-0.5
Fantástico. La comida deliciosa y el personal muy amable.,0.6291666666666667
Un lugar maravilloso con comida deliciosa y excelente servicio.,1.0
"Muy buen restaurante, aunque algo caro. El ambiente es muy agradable.",0.45444444444444443
"La comida está bien, pero el servicio puede mejorar.",0.5
La comida no estaba fresca y el personal fue poco amable.,-0.15
Muy mala experiencia. La comida era terrible y el servicio peor.,-0.7699999999999999
Me encantó este lugar. La comida y el ambiente son geniales.,0.75
Buena experiencia en general. La comida y el servicio fueron buenos.,0.4666666666666666
"No es el mejor, pero tampoco el peor. Un lugar promedio.",-0.049999999999999996
La comida tardó mucho en llegar y no estaba bien cocida.,-0.025
Nunca volveré. La comida estaba horrible y el servicio fue pésimo.,-1.0
Uno de mis restaurantes favoritos. Siempre una experiencia fantástica.,0.45
"Buen lugar para cenar, aunque un poco ruidoso.",0.25625
Nada especial. La comida y el servicio fueron normales.,0.10357142857142858
No me gustó la comida y el ambiente era muy ruidoso.,0.2
El peor restaurante en el que he estado. Muy decepcionante.,-0.89
Un lugar excelente para celebrar ocasiones especiales.,0.6785714285714286
"Me gustó mucho la comida y el ambiente, aunque el servicio podría mejorar.",0.6
"Comida decente, pero el precio es un poco alto para lo que ofrecen.",0.04638888888888889
No recomendaría este lugar. La comida y el servicio fueron malos.,-0.6999999999999998
Horrible experiencia. La comida era terrible y el personal muy grosero.,-0.7966666666666667
Fantástico restaurante. La comida y el servicio fueron excepcionales.,0.5333333333333333
Buena comida y buen servicio. Un lugar recomendable.,0.7
"Normal, no estuvo mal pero tampoco fue excelente.",0.15000000000000005
La comida estaba fría y el servicio fue muy lento.,-0.495
No entiendo cómo este lugar sigue abierto. Muy malo todo.,-0.4549999999999999
Siempre disfruto venir aquí. La comida es deliciosa y el personal muy amable.,0.6291666666666667
"Un buen lugar para cenar, aunque el servicio puede ser un poco lento a veces.",0.0708333333333333
"La comida está bien, pero el ambiente no es muy agradable.",0.20897435897435898
No me gustó la comida y el servicio fue muy deficiente.,-0.52
Terrible experiencia. No recomendaría este lugar a nadie.,-1.0
Excelente lugar para una cena romántica. La comida es increíble.,0.5333333333333333
"Buen restaurante, aunque algo caro. La comida es muy sabrosa.",0.13333333333333333
"No está mal, pero he comido en mejores lugares.",0.42499999999999993
La comida no estaba bien cocida y el servicio fue terrible.,-1.0
Una experiencia desastrosa. No recomendaría este lugar.,-0.7
Uno de los mejores restaurantes en los que he comido. Todo fue perfecto.,1.0
"Me gustó mucho la comida, aunque el servicio fue un poco lento.",0.03749999999999998
"La comida estaba bien, pero el ambiente no era muy agradable.",0.20897435897435898
La comida tardó mucho en llegar y no estaba muy buena.,-0.15961538461538458
Muy mala experiencia. La comida y el servicio fueron horribles.,-0.9549999999999998
Un lugar increíble. La comida y el servicio son de primera.,0.7
"Buena comida y buen ambiente, aunque un poco caro.",0.17812499999999998
Nada especial. La comida y el servicio fueron normales.,0.10357142857142858
La comida no estaba fresca y el servicio fue muy lento.,-0.27
El peor restaurante en el que he estado. Muy decepcionante.,-0.89
Siempre disfruto venir aquí. La comida es deliciosa y el personal muy amable.,0.6291666666666667
"Buen lugar para cenar, aunque el servicio puede ser un poco lento a veces.",0.0708333333333333
"La comida está bien, pero el ambiente no es muy agradable.",0.20897435897435898
No me gustó la comida y el servicio fue muy deficiente.,-0.52
Terrible experiencia. No recomendaría este lugar a nadie.,-1.0
